"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor","significativo_5"
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.188694690483055,0.062148247825443,3.03620290330703,0.00254678524169899,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.310792320992244,0.0528962094416333,5.87551214487643,8.6593363128059e-09,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.0974025572237962,0.309502141417883,0.314707215845351,0.753182249326598,"No"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.774883632175928,0.31610068114178,2.45138235506797,0.0147537146343646,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.989145470287391,0.294811744281562,3.35517661515784,0.00086630645307213,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.465593071871029,0.20136624711338,2.31217037882658,0.02125815692353,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",2.21347987832417,0.333063995581237,6.64580953717732,1.23786795292095e-10,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.836444206918352,0.294848419939476,2.83686175795024,0.00483924790969365,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",0.686797181358451,0.318324451456342,2.15753825449581,0.0315370208293725,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL",1.46587887816632,0.233098999815993,6.28865365927556,8.12673881446878e-10,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0934699508311244,0.296952238048948,0.314764257865999,0.753138974544453,"No"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.715563038499631,0.310217835945599,2.30664699313135,0.0216991873045731,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",1.0559541794834,0.322257050057461,3.27674500618409,0.00113859770802152,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.427378453107102,0.2067895155257,2.06673172970409,0.0393806540322088,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",2.31671323981538,0.298481861157467,7.76165503267609,1.04635524440244e-13,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.784407900715726,0.275998546645171,2.84207257701315,0.00476274972556392,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.762038055315464,0.351159726500591,2.17006107992336,0.0305688374503958,"Sí"
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",1.71361397642843,0.223034634245458,7.68317432951932,1.1298697572303e-13,"Sí"
